name,url,category,opportunity_type,contact_name,contact_email,notes
faith.tools,https://faith.tools/,app_directory,backlink,,,Premier curated Christian app directory; paid submission as of 2026 — read selection criteria
RAPT Interviews,https://raptinterviews.com/,review_site,press,,,Award-winning Christian newsletter; pitch for an apps roundup
GetSermons Blog,https://getsermons.app/blog/,blog,backlink,,,Publishes best Christian apps listicles
Purposeful Her,https://purposefulher.com/,blog,backlink,,,100 Best Christian Apps list; female Christian readership
Christian App Store,http://christianappstore.com/,app_directory,backlink,,,Dedicated Christian app storefront; submit directly
iBelieve.com,https://www.ibelieve.com/,review_site,press,,,Salem network women's faith site; pitch via Crosswalk write-for-us
Global Christian Relief,https://globalchristianrelief.org/stories/,blog,backlink,,,Best Christian apps for healthy habits roundup
Cornerstone SF Top 20 Apps,https://www.cornerstonesf.org/top-20-christian-apps-we-recommend/,blog,backlink,,,Church-published app recommendation list
Dear Bold Believer,https://dearboldbeliever.com/,blog,backlink,,,Best Christian apps for beginners lists
FaithTime AI,https://www.faithtime.ai/,blog,backlink,,,AI Christian content; app comparison guides
actssocial,https://actssocial.com/blog/best-daily-devotional-apps,blog,backlink,,,Ranked devotional/prayer app lists (2026)
Product Hunt,https://www.producthunt.com/launch,app_directory,backlink,,,Schedule launch; personal account; 12:01 AM PST
AlternativeTo,https://alternativeto.net/,app_directory,backlink,,,Wait 1 week then Suggest new application; free
BetaList,https://betalist.com/,app_directory,press,,,Pre-launch community; free 2-month queue or paid
SaaSHub,https://www.saashub.com/,app_directory,backlink,,,Free; claim/create product page
Capterra,https://www.capterra.com/vendors/,app_directory,backlink,,,One listing also covers GetApp + Software Advice
G2,https://app.g2digitalmarkets.com/get-listed/start,app_directory,backlink,,,Largest B2B review site; free basic listing
GetApp,https://www.getapp.com/listing_guidelines/,app_directory,backlink,,,Gartner/G2 network; covered by Capterra submission
AppSumo,https://appsumo.com/partner-apply/,app_directory,partnership,,,LTD model; requires 500-10k codes; 120-day commitment
Uneed,https://www.uneed.best/,app_directory,backlink,,,Product Hunt alternative; active makers
