name,url,category,opportunity_type,contact_name,contact_email,notes
AlternativeTo,https://alternativeto.net,app_directory,backlink,,,Submit PrayFocus as an alternative to popular prayer/focus apps
Product Hunt,https://www.producthunt.com,app_directory,backlink,,,Plan a coordinated launch day
SaaSHub,https://www.saashub.com,app_directory,backlink,,,Submit listing; links to alternatives
Crosswalk,https://www.crosswalk.com,review_site,backlink,,,Major Christian living site; pitch a review/mention
Relevant Magazine,https://relevantmagazine.com,journalist,press,,,Faith + culture; pitch story on focus & prayer
Christianity Today,https://www.christianitytoday.com,journalist,press,,,Religion-beat; data-led story angle
Bible Gateway Blog,https://www.biblegateway.com/blog,blog,backlink,,,Devotional audience; guest post angle
PodMatch,https://www.podmatch.com,podcast,partnership,,,Match with Christian podcast hosts
Ann Voskamp,https://annvoskamp.com,blog,backlink,,,Influential Christian writer; resource mention
The Gospel Coalition,https://www.thegospelcoalition.org,review_site,backlink,,,Resource roundups; pitch inclusion
YouVersion (Life.Church),https://www.youversion.com,partner,partnership,,,Complementary Bible app; explore cross-promo
Premier Christianity,https://www.premierchristianity.com,journalist,press,,,UK Christian media; pitch feature
